DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
26 September 2022 00:00,3006,2132,Ireland
26 September 2022 00:15,3016,2185,Ireland
26 September 2022 00:30,3026,2190,Ireland
26 September 2022 00:45,3035,2207,Ireland
26 September 2022 01:00,3070,2207,Ireland
26 September 2022 01:15,3076,2182,Ireland
26 September 2022 01:30,3083,2166,Ireland
26 September 2022 01:45,3089,2159,Ireland
26 September 2022 02:00,3095,2124,Ireland
26 September 2022 02:15,3122,2045,Ireland
26 September 2022 02:30,3149,2038,Ireland
26 September 2022 02:45,3176,2084,Ireland
26 September 2022 03:00,3203,2074,Ireland
26 September 2022 03:15,3198,2065,Ireland
26 September 2022 03:30,3193,2069,Ireland
26 September 2022 03:45,3188,2061,Ireland
26 September 2022 04:00,3183,2081,Ireland
26 September 2022 04:15,3153,2088,Ireland
26 September 2022 04:30,3124,2054,Ireland
26 September 2022 04:45,3094,2036,Ireland
26 September 2022 05:00,3065,2068,Ireland
26 September 2022 05:15,3031,2199,Ireland
26 September 2022 05:30,2997,2271,Ireland
26 September 2022 05:45,2964,2240,Ireland
26 September 2022 06:00,2930,2289,Ireland
26 September 2022 06:15,2865,2347,Ireland
26 September 2022 06:30,2800,2411,Ireland
26 September 2022 06:45,2735,2530,Ireland
26 September 2022 07:00,2748,2566,Ireland
26 September 2022 07:15,2696,2545,Ireland
26 September 2022 07:30,2644,2545,Ireland
26 September 2022 07:45,2592,2481,Ireland
26 September 2022 08:00,2540,2348,Ireland
26 September 2022 08:15,2489,2328,Ireland
26 September 2022 08:30,2438,2240,Ireland
26 September 2022 08:45,2388,2227,Ireland
26 September 2022 09:00,2337,2165,Ireland
26 September 2022 09:15,2302,2218,Ireland
26 September 2022 09:30,2268,2132,Ireland
26 September 2022 09:45,2234,2221,Ireland
26 September 2022 10:00,2199,2245,Ireland
26 September 2022 10:15,2173,2292,Ireland
26 September 2022 10:30,2148,2287,Ireland
26 September 2022 10:45,2122,2381,Ireland
26 September 2022 11:00,2096,2361,Ireland
26 September 2022 11:15,2090,2378,Ireland
26 September 2022 11:30,2085,2408,Ireland
26 September 2022 11:45,2079,2395,Ireland
26 September 2022 12:00,2073,2459,Ireland
26 September 2022 12:15,2111,2461,Ireland
26 September 2022 12:30,2149,2462,Ireland
26 September 2022 12:45,2187,2391,Ireland
26 September 2022 13:00,2402,2360,Ireland
26 September 2022 13:15,2415,2398,Ireland
26 September 2022 13:30,2428,2453,Ireland
26 September 2022 13:45,2441,2502,Ireland
26 September 2022 14:00,2453,2576,Ireland
26 September 2022 14:15,2464,2666,Ireland
26 September 2022 14:30,2476,2590,Ireland
26 September 2022 14:45,2487,2600,Ireland
26 September 2022 15:00,2498,2611,Ireland
26 September 2022 15:15,2488,2603,Ireland
26 September 2022 15:30,2479,2638,Ireland
26 September 2022 15:45,2470,2635,Ireland
26 September 2022 16:00,2461,2570,Ireland
26 September 2022 16:15,2424,2569,Ireland
26 September 2022 16:30,2388,2641,Ireland
26 September 2022 16:45,2351,2687,Ireland
26 September 2022 17:00,2315,2679,Ireland
26 September 2022 17:15,2259,2662,Ireland
26 September 2022 17:30,2204,2661,Ireland
26 September 2022 17:45,2148,2586,Ireland
26 September 2022 18:00,2092,2492,Ireland
26 September 2022 18:15,2073,2410,Ireland
26 September 2022 18:30,2054,2399,Ireland
26 September 2022 18:45,2035,2382,Ireland
26 September 2022 19:00,2197,2425,Ireland
26 September 2022 19:15,2165,2451,Ireland
26 September 2022 19:30,2133,2409,Ireland
26 September 2022 19:45,2100,2300,Ireland
26 September 2022 20:00,2068,2167,Ireland
26 September 2022 20:15,2019,2018,Ireland
26 September 2022 20:30,1969,1989,Ireland
26 September 2022 20:45,1920,2074,Ireland
26 September 2022 21:00,1871,2041,Ireland
26 September 2022 21:15,1838,2014,Ireland
26 September 2022 21:30,1805,1968,Ireland
26 September 2022 21:45,1773,2051,Ireland
26 September 2022 22:00,1740,2135,Ireland
26 September 2022 22:15,1789,2204,Ireland
26 September 2022 22:30,1837,2181,Ireland
26 September 2022 22:45,1886,2012,Ireland
26 September 2022 23:00,1935,1980,Ireland
26 September 2022 23:15,1965,2061,Ireland
26 September 2022 23:30,1996,2141,Ireland
26 September 2022 23:45,2027,2180,Ireland
